,0
2556,0
2557,1
2558,1
2559,1
2560,0
2561,0
2562,1
2563,0
2564,0
2565,2
2566,4
2567,5
2568,0
2569,2
2570,0
2571,0
2572,1
2573,1
2574,1
2575,0
2576,0
2577,0
2578,0
2579,1
2580,1
2581,0
2582,1
2583,0
2584,0
2585,0
2586,1
2587,2
2588,0
2589,0
2590,2
2591,1
2592,1
2593,1
2594,0
2595,0
2596,3
2597,1
2598,5
2599,2
2600,2
2601,0
2602,2
2603,0
2604,0
2605,2
2606,1
2607,1
2608,2
2609,3
2610,0
2611,5
2612,6
2613,3
2614,2
2615,5
2616,4
2617,1
2618,1
2619,0
2620,0
2621,0
2622,0
2623,1
2624,0
2625,1
2626,2
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,1
2634,0
2635,1
2636,2
2637,1
2638,2
2639,2
2640,3
2641,2
2642,0
2643,0
2644,0
2645,0
2646,1
2647,3
2648,2
2649,3
2650,3
2651,0
2652,0
2653,0
2654,0
2655,0
2656,1
2657,3
2658,0
2659,2
2660,7
2661,2
2662,0
2663,0
2664,0
2665,5
2666,1
2667,0
2668,1
2669,0
2670,0
2671,0
2672,1
2673,2
2674,1
2675,2
2676,4
2677,0
2678,1
2679,0
2680,1
2681,1
2682,2
2683,3
2684,1
2685,5
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,0
2695,2
2696,0
2697,1
2698,1
2699,0
2700,0
2701,1
2702,2
2703,0
2704,3
2705,1
2706,0
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2717,0
2718,0
2719,0
2720,1
2721,0
2722,0
2723,1
2724,2
2725,0
2726,1
2727,0
2728,0
2729,0
2730,1
2731,0
2732,1
2733,1
2734,1
2735,0
2736,0
2737,0
2738,0
2739,1
2740,2
2741,3
2742,0
2743,2
2744,5
2745,0
2746,0
2747,3
2748,4
2749,0
2750,0
2751,1
2752,1
2753,0
2754,2
2755,0
2756,0
2757,0
2758,5
2759,2
2760,0
2761,0
2762,1
2763,3
2764,3
2765,1
2766,0
2767,0
2768,1
2769,1
2770,4
2771,0
2772,0
2773,0
2774,0
2775,0
2776,1
2777,3
2778,1
2779,3
2780,2
2781,1
2782,2
2783,0
2784,1
2785,2
2786,2
2787,0
2788,0
2789,0
2790,2
2791,1
2792,1
2793,0
2794,4
2795,5
2796,3
2797,1
2798,0
2799,0
2800,3
2801,0
2802,0
2803,0
2804,2
2805,1
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2813,1
2814,3
2815,1
2816,0
2817,0
2818,1
2819,4
2820,2
2821,1
2822,0
2823,0
2824,3
2825,4
2826,3
2827,5
2828,2
2829,0
2830,1
2831,1
2832,4
2833,4
2834,1
2835,0
2836,1
2837,0
2838,1
2839,0
2840,2
2841,1
2842,1
2843,3
2844,5
2845,1
2846,1
2847,0
2848,0
2849,0
2850,0
2851,1
2852,1
2853,2
2854,1
2855,0
2856,1
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,1
2864,0
2865,0
2866,0
2867,0
2868,2
2869,4
2870,1
2871,0
2872,0
2873,2
2874,3
2875,0
2876,0
2877,0
2878,2
2879,0
2880,0
2881,1
2882,3
2883,0
2884,0
2885,0
2886,0
2887,1
2888,3
2889,3
2890,2
2891,1
2892,1
2893,0
2894,1
2895,0
2896,3
2897,0
2898,0
2899,0
2900,0
2901,0
2902,4
2903,0
2904,0
2905,0
2906,0
2907,1
2908,0
2909,3
2910,2
2911,3
2912,0
2913,0
2914,2
2915,0
2916,0
2917,0
2918,1
2919,1
2920,2
2921,3
2922,2
2923,0
2924,3
2925,1
2926,0
2927,0
2928,2
2929,0
2930,1
2931,3
2932,1
2933,0
2934,0
2935,1
2936,0
2937,1
2938,0
2939,0
2940,2
2941,0
2942,0
2943,0
2944,0
2945,0
2946,0
2947,0
2948,0
2949,0
2950,0
2951,1
2952,0
2953,2
2954,0
2955,0
2956,0
2957,0
2958,1
2959,1
2960,0
2961,0
2962,1
2963,1
2964,1
2965,0
2966,1
2967,0
2968,0
2969,0
2970,0
2971,0
2972,0
2973,2
2974,1
2975,1
2976,0
2977,0
2978,0
2979,1
2980,0
2981,0
2982,1
2983,0
2984,0
2985,0
2986,1
2987,0
2988,0
2989,2
2990,1
2991,0
2992,0
2993,1
2994,1
2995,0
